dialogue_id	turn_id	annotations
joker_00001	6	INVALID
joker_00001	8	VALID
joker_00001	10	VALID
joker_00001	12	INVALID
joker_00001	14	INVALID
joker_00001	16	INVALID
joker_00001	18	INVALID
joker_00001	20	ACCEPTABLE
joker_00001	26	VALID
joker_00001	28	VALID
joker_00001	30	ACCEPTABLE
joker_00001	32	VALID
joker_00001	34	VALID
joker_00001	36	INVALID
joker_00001	38	INVALID
joker_00001	40	INVALID
joker_00001	46	VALID
joker_00001	48	VALID
joker_00002	2	VALID
joker_00002	4	INVALID
joker_00002	6	INVALID
joker_00002	8	INVALID
joker_00002	10	INVALID
joker_00002	12	INVALID
joker_00002	18	VALID
joker_00002	20	INVALID
joker_00002	22	VALID
joker_00002	24	VALID
joker_00002	26	INVALID
joker_00002	28	INVALID
joker_00002	30	INVALID
joker_00002	32	INVALID
joker_00002	38	INVALID
joker_00002	40	INVALID
joker_00002	42	VALID
joker_00002	44	INVALID
joker_00002	46	INVALID
joker_00002	48	INVALID
joker_00002	50	VALID
joker_00003	2	VALID
joker_00003	8	INVALID
joker_00003	10	INVALID
joker_00003	12	INVALID
joker_00003	14	INVALID
joker_00003	16	INVALID
joker_00003	18	INVALID
joker_00003	20	INVALID
joker_00003	22	ACCEPTABLE
joker_00004	2	INVALID
joker_00004	4	VALID
joker_00004	6	VALID
joker_00004	8	VALID
joker_00004	10	INVALID
joker_00004	12	INVALID
joker_00004	14	INVALID
joker_00004	16	INVALID
joker_00004	22	VALID
joker_00004	24	VALID
joker_00004	26	INVALID
joker_00004	28	VALID
joker_00004	30	INVALID
joker_00004	32	VALID
joker_00004	34	INVALID
joker_00004	36	INVALID
joker_00004	42	INVALID
joker_00004	44	ACCEPTABLE
joker_00004	46	INVALID
joker_00004	48	VALID
joker_00004	50	VALID
joker_00004	52	VALID
joker_00004	54	INVALID
joker_00004	56	INVALID
joker_00005	2	INVALID
joker_00005	4	INVALID
joker_00005	6	INVALID
joker_00005	8	VALID
joker_00005	10	ACCEPTABLE
joker_00006	2	VALID
joker_00006	4	VALID
joker_00006	6	VALID
joker_00006	12	VALID
joker_00006	14	INVALID
joker_00006	16	INVALID
joker_00006	18	INVALID
joker_00006	20	INVALID
joker_00006	22	VALID
joker_00006	24	VALID
joker_00006	26	VALID
joker_00006	32	INVALID
joker_00006	34	INVALID
joker_00006	36	VALID
joker_00006	38	VALID
joker_00006	40	INVALID
joker_00006	42	VALID
joker_00007	2	VALID
joker_00007	4	INVALID
joker_00007	10	ACCEPTABLE
joker_00007	12	VALID
joker_00007	14	VALID
joker_00007	16	VALID
joker_00007	18	VALID
joker_00007	20	INVALID
joker_00007	22	VALID
joker_00007	24	VALID
joker_00007	30	VALID
joker_00007	32	INVALID
joker_00007	34	INVALID
joker_00007	36	VALID
joker_00008	2	VALID
joker_00008	4	INVALID
joker_00008	6	VALID
joker_00008	8	VALID
joker_00008	14	VALID
joker_00008	16	VALID
joker_00008	18	ACCEPTABLE
joker_00008	20	ACCEPTABLE
joker_00008	22	INVALID
joker_00008	24	INVALID
joker_00008	26	VALID
joker_00008	28	INVALID
joker_00008	34	ACCEPTABLE
joker_00008	36	VALID
joker_00008	38	VALID
joker_00008	40	INVALID
joker_00008	42	INVALID
joker_00008	44	VALID
joker_00009	2	VALID, VALID
joker_00009	4	VALID, ACCEPTABLE
joker_00009	10	ACCEPTABLE, INVALID
joker_00009	12	ACCEPTABLE, VALID
joker_00009	14	VALID, VALID
joker_00009	16	VALID, VALID
joker_00009	18	INVALID, INVALID
joker_00009	20	ACCEPTABLE, VALID
joker_00009	22	ACCEPTABLE, ACCEPTABLE
joker_00009	24	ACCEPTABLE, ACCEPTABLE
joker_00009	30	INVALID, INVALID
joker_00009	32	VALID, VALID
joker_00009	34	INVALID, INVALID
joker_00009	36	VALID, VALID
joker_00009	38	INVALID, VALID
joker_00009	40	VALID, INVALID
joker_00009	42	VALID, VALID
joker_00009	44	VALID, VALID
joker_00010	6	VALID, VALID
joker_00010	8	INVALID, INVALID
joker_00010	10	INVALID, INVALID
joker_00010	12	INVALID, INVALID
joker_00010	14	INVALID, INVALID
joker_00010	16	ACCEPTABLE, ACCEPTABLE
joker_00010	18	ACCEPTABLE, ACCEPTABLE
joker_00010	20	VALID, VALID
joker_00010	26	INVALID, INVALID
joker_00010	28	VALID, VALID
joker_00010	30	VALID, VALID
joker_00010	32	INVALID, INVALID
joker_00010	34	INVALID, INVALID
joker_00010	36	VALID, VALID
joker_00010	38	INVALID, INVALID
joker_00010	40	ACCEPTABLE, ACCEPTABLE
joker_00011	2	VALID, VALID
joker_00011	4	VALID, VALID
joker_00011	6	INVALID, INVALID
joker_00011	8	ACCEPTABLE, ACCEPTABLE
joker_00011	10	VALID, VALID
joker_00011	12	INVALID, INVALID
joker_00011	14	VALID, VALID
joker_00011	16	VALID, VALID
