dialogue_id	turn_id	annotations
ticktock_00001	2	INVALID
ticktock_00001	4	INVALID
ticktock_00001	10	VALID
ticktock_00001	12	VALID
ticktock_00001	14	VALID
ticktock_00001	16	INVALID
ticktock_00001	18	VALID
ticktock_00001	20	VALID
ticktock_00001	22	VALID
ticktock_00001	24	ACCEPTABLE
ticktock_00002	6	INVALID
ticktock_00002	8	VALID
ticktock_00002	10	INVALID
ticktock_00002	12	INVALID
ticktock_00002	14	INVALID
ticktock_00002	16	INVALID
ticktock_00002	18	ACCEPTABLE
ticktock_00002	20	INVALID
ticktock_00003	2	INVALID
ticktock_00003	4	INVALID
ticktock_00003	6	VALID
ticktock_00003	8	ACCEPTABLE
ticktock_00003	10	INVALID
ticktock_00003	12	INVALID
ticktock_00003	14	ACCEPTABLE
ticktock_00003	16	INVALID
ticktock_00003	22	INVALID
ticktock_00003	24	ACCEPTABLE
ticktock_00003	26	VALID
ticktock_00003	28	INVALID
ticktock_00003	30	INVALID
ticktock_00004	2	INVALID
ticktock_00004	4	VALID
ticktock_00004	6	VALID
ticktock_00004	12	ACCEPTABLE
ticktock_00004	14	INVALID
ticktock_00004	16	ACCEPTABLE
ticktock_00004	18	ACCEPTABLE
ticktock_00004	20	INVALID
ticktock_00004	22	INVALID
ticktock_00004	24	ACCEPTABLE
ticktock_00005	2	INVALID
ticktock_00005	8	ACCEPTABLE
ticktock_00005	10	INVALID
ticktock_00005	12	VALID
ticktock_00005	14	INVALID
ticktock_00005	16	INVALID
ticktock_00005	18	ACCEPTABLE
ticktock_00005	20	INVALID
ticktock_00006	2	ACCEPTABLE
ticktock_00006	8	VALID
ticktock_00006	10	INVALID
ticktock_00006	12	INVALID
ticktock_00006	14	INVALID
ticktock_00006	16	ACCEPTABLE
ticktock_00006	18	INVALID
ticktock_00006	20	INVALID
ticktock_00006	22	ACCEPTABLE
ticktock_00007	6	INVALID
ticktock_00007	8	VALID
ticktock_00007	10	VALID
ticktock_00007	12	INVALID
ticktock_00007	14	INVALID
ticktock_00007	16	INVALID
ticktock_00007	18	VALID
ticktock_00007	20	VALID
ticktock_00008	2	INVALID
ticktock_00008	4	ACCEPTABLE
ticktock_00008	6	VALID
ticktock_00008	8	ACCEPTABLE
ticktock_00008	10	ACCEPTABLE
ticktock_00008	12	ACCEPTABLE
ticktock_00008	14	INVALID
ticktock_00008	16	VALID
ticktock_00008	22	ACCEPTABLE
ticktock_00008	24	ACCEPTABLE
ticktock_00008	26	ACCEPTABLE
ticktock_00009	2	VALID
ticktock_00009	4	INVALID
ticktock_00009	6	ACCEPTABLE
ticktock_00009	8	VALID
ticktock_00009	10	INVALID
ticktock_00009	16	INVALID
ticktock_00009	18	VALID
ticktock_00009	20	VALID
ticktock_00009	22	INVALID
ticktock_00009	24	INVALID
ticktock_00009	26	INVALID
ticktock_00010	2	INVALID
ticktock_00010	4	INVALID
ticktock_00010	10	VALID
ticktock_00010	12	ACCEPTABLE
ticktock_00010	14	INVALID
ticktock_00010	16	INVALID
ticktock_00010	18	INVALID
ticktock_00010	20	INVALID
ticktock_00010	22	VALID
ticktock_00010	24	ACCEPTABLE
ticktock_00010	30	INVALID
ticktock_00010	32	INVALID
ticktock_00011	2	ACCEPTABLE, INVALID, ACCEPTABLE, INVALID
ticktock_00011	4	INVALID, INVALID, ACCEPTABLE, ACCEPTABLE
ticktock_00011	6	ACCEPTABLE, VALID, ACCEPTABLE, VALID
ticktock_00011	8	INVALID, INVALID, ACCEPTABLE, INVALID
ticktock_00011	10	INVALID, INVALID, INVALID, VALID
ticktock_00011	12	ACCEPTABLE, INVALID, INVALID, VALID
ticktock_00011	18	VALID, VALID, VALID, VALID
ticktock_00011	20	ACCEPTABLE, ACCEPTABLE, ACCEPTABLE, VALID
ticktock_00011	22	ACCEPTABLE, INVALID, INVALID, INVALID
ticktock_00012	2	VALID
ticktock_00012	4	INVALID
ticktock_00012	6	INVALID
ticktock_00012	8	ACCEPTABLE
ticktock_00012	10	VALID
ticktock_00012	16	INVALID
ticktock_00012	18	INVALID
ticktock_00012	20	INVALID
ticktock_00012	22	INVALID
ticktock_00012	24	INVALID
ticktock_00012	26	INVALID
ticktock_00013	2	ACCEPTABLE
ticktock_00013	4	INVALID
